Id;URL Repository;URL Commit;Files;Hash;BugType1;BugType2;RootCause;ImpactsFromBugs;Lines Changed Total Added;Lines Changed Total Deleted;Lines Changed File Added;Lines Changed File Deleted;Lines Changed File Deleted ;Lines Changed Total Deleted ;Message Commit
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/6f7f0706f5f69f4efdec591f782095a438e0e3d4;tutorials/chemistry/05_sampling_potential_energy_surfaces.ipynb;6f7f0706f5f69f4efdec591f782095a438e0e3d4;kernel;;Logic error;Incorrect Functionality;25;;25;;25;25;Bopes tutorial fix (#1069) * fix in bopes sampler tutorial * kernel renaming for CI Co-authored-by: Paul Nation <nonhermitian@gmail.com>
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/03442a40de65d5e0822e50f0ebf9322f91183d66;tutorials/pulse/1_getting_started_with_pulse.ipynb;03442a40de65d5e0822e50f0ebf9322f91183d66;Kernel;;Unknown;Run Error;25;;11;;9;20;Updates to pulse tutorials (#1025) * Changed references to SamplePulse with Waveform * Fixed fonts on schedule plot to make readible * Post-merge of master * Test against updated qiskit-terra qiskit-terra upgraded to 0.15.2 * Fixed notebook python kernel problem Co-authored-by: Paul Nation <nonhermitian@gmail.com>
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/03442a40de65d5e0822e50f0ebf9322f91183d66;tutorials/pulse/2_building_pulse_instructions.ipynb;03442a40de65d5e0822e50f0ebf9322f91183d66;Kernel;;Unknown;Run Error;25;;14;;11;20;Updates to pulse tutorials (#1025) * Changed references to SamplePulse with Waveform * Fixed fonts on schedule plot to make readible * Post-merge of master * Test against updated qiskit-terra qiskit-terra upgraded to 0.15.2 * Fixed notebook python kernel problem Co-authored-by: Paul Nation <nonhermitian@gmail.com>
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/4afa6b9011003d1e5cb4436d49406ef563f5cc34;tutorials/circuits/1_getting_started_with_qiskit.ipynb;4afa6b9011003d1e5cb4436d49406ef563f5cc34;cell defect;;Hardwere software limitations;Incorrect Functionality;4;;4;;4;4;Update 1_getting_started_with_qiskit.ipynb fix markdown syntax to resolve #975
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;tutorials/finance/10_qgan_option_pricing.ipynb;1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;conversion;;Hardwere software limitations;Incorrect Functionality;109;;4;;3;62;Merge pull request #962 from nonhermitian/minor_fixes1 cleanup finance latex in rst
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;tutorials/finance/11_time_series.ipynb;1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;conversion;;Hardwere software limitations;Incorrect Functionality;109;;6;;2;62;Merge pull request #962 from nonhermitian/minor_fixes1 cleanup finance latex in rst
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;tutorials/finance/1_portfolio_optimization.ipynb;1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;conversion;;Hardwere software limitations;Incorrect Functionality;109;;6;;6;62;Merge pull request #962 from nonhermitian/minor_fixes1 cleanup finance latex in rst
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;tutorials/finance/2_portfolio_diversification.ipynb;1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;conversion;;Hardwere software limitations;Incorrect Functionality;109;;1;;1;62;Merge pull request #962 from nonhermitian/minor_fixes1 cleanup finance latex in rst
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;tutorials/finance/3_european_call_option_pricing.ipynb;1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;conversion;;Hardwere software limitations;Incorrect Functionality;109;;15;;11;62;Merge pull request #962 from nonhermitian/minor_fixes1 cleanup finance latex in rst
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;tutorials/finance/4_european_put_option_pricing.ipynb;1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;conversion;;Hardwere software limitations;Incorrect Functionality;109;;15;;11;62;Merge pull request #962 from nonhermitian/minor_fixes1 cleanup finance latex in rst
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;tutorials/finance/5_bull_spread_pricing.ipynb;1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;conversion;;Hardwere software limitations;Incorrect Functionality;109;;24;;12;62;Merge pull request #962 from nonhermitian/minor_fixes1 cleanup finance latex in rst
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;tutorials/finance/6_basket_option_pricing.ipynb;1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;conversion;;Hardwere software limitations;Incorrect Functionality;109;;9;;2;62;Merge pull request #962 from nonhermitian/minor_fixes1 cleanup finance latex in rst
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;tutorials/finance/7_asian_barrier_spread_pricing.ipynb;1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;conversion;;Hardwere software limitations;Incorrect Functionality;109;;17;;10;62;Merge pull request #962 from nonhermitian/minor_fixes1 cleanup finance latex in rst
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;tutorials/finance/8_fixed_income_pricing.ipynb;1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;conversion;;Hardwere software limitations;Incorrect Functionality;109;;6;;2;62;Merge pull request #962 from nonhermitian/minor_fixes1 cleanup finance latex in rst
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;tutorials/finance/9_credit_risk_analysis.ipynb;1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;conversion;;Hardwere software limitations;Incorrect Functionality;109;;1;;1;62;Merge pull request #962 from nonhermitian/minor_fixes1 cleanup finance latex in rst
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;tutorials/pulse/2_adding_measurements.ipynb;1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;conversion;;Hardwere software limitations;Incorrect Functionality;109;;1;;1;62;Merge pull request #962 from nonhermitian/minor_fixes1 cleanup finance latex in rst
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;tutorials/pulse/4_pulse_simulator_duffing_model.ipynb;1aa3cb486ee2ae1a349f6f32b04235dac5d1d0d7;conversion;;Hardwere software limitations;Incorrect Functionality;109;;4;;0;62;Merge pull request #962 from nonhermitian/minor_fixes1 cleanup finance latex in rst
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/df84eb96af74f32cead8cc61dea2ed4d89eb47dd;tutorials/finance/10_qgan_option_pricing.ipynb;df84eb96af74f32cead8cc61dea2ed4d89eb47dd;conversion;;Hardwere software limitations;Incorrect Functionality;60;;4;;3;48;fix math rendering
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/df84eb96af74f32cead8cc61dea2ed4d89eb47dd;tutorials/finance/11_time_series.ipynb;df84eb96af74f32cead8cc61dea2ed4d89eb47dd;conversion;;Hardwere software limitations;Incorrect Functionality;60;;5;;5;48;fix math rendering
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/df84eb96af74f32cead8cc61dea2ed4d89eb47dd;tutorials/finance/1_portfolio_optimization.ipynb;df84eb96af74f32cead8cc61dea2ed4d89eb47dd;conversion;;Hardwere software limitations;Incorrect Functionality;60;;1;;1;48;fix math rendering
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/df84eb96af74f32cead8cc61dea2ed4d89eb47dd;tutorials/finance/3_european_call_option_pricing.ipynb;df84eb96af74f32cead8cc61dea2ed4d89eb47dd;conversion;;Hardwere software limitations;Incorrect Functionality;60;;6;;9;48;fix math rendering
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/df84eb96af74f32cead8cc61dea2ed4d89eb47dd;tutorials/finance/4_european_put_option_pricing.ipynb;df84eb96af74f32cead8cc61dea2ed4d89eb47dd;conversion;;Hardwere software limitations;Incorrect Functionality;60;;6;;9;48;fix math rendering
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/df84eb96af74f32cead8cc61dea2ed4d89eb47dd;tutorials/finance/5_bull_spread_pricing.ipynb;df84eb96af74f32cead8cc61dea2ed4d89eb47dd;conversion;;Hardwere software limitations;Incorrect Functionality;60;;20;;11;48;fix math rendering
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/df84eb96af74f32cead8cc61dea2ed4d89eb47dd;tutorials/finance/7_asian_barrier_spread_pricing.ipynb;df84eb96af74f32cead8cc61dea2ed4d89eb47dd;conversion;;Hardwere software limitations;Incorrect Functionality;60;;13;;9;48;fix math rendering
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/df84eb96af74f32cead8cc61dea2ed4d89eb47dd;tutorials/pulse/2_adding_measurements.ipynb;df84eb96af74f32cead8cc61dea2ed4d89eb47dd;conversion;;Hardwere software limitations;Incorrect Functionality;60;;1;;1;48;fix math rendering
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/df84eb96af74f32cead8cc61dea2ed4d89eb47dd;tutorials/pulse/4_pulse_simulator_duffing_model.ipynb;df84eb96af74f32cead8cc61dea2ed4d89eb47dd;conversion;;Hardwere software limitations;Incorrect Functionality;60;;4;;0;48;fix math rendering
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/9405254b38312771f8d5c2dd6f451cec35307995;tutorials/circuits_advanced/4_transpiler_passes_and_passmanager.ipynb;9405254b38312771f8d5c2dd6f451cec35307995;implementation;;Coding error;Incorrect Functionality;206;;206;;651;651;Merge pull request #910 from nonhermitian/fix_transpiler_notebook Update 4_transpiler_passes_and_passmanager.ipynb
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aer/8_pulse_simulator_duffing_model.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aer/9_pulse_simulator_from_backend.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/aqua_how_to_build_a_pluggable_algorithm_components.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/amplitude_estimation.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/chemistry/dissociation_profile_of_molecule.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/chemistry/index.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/chemistry/programmatic_approach.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/finance/data_providers/time_series.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/finance/index.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/finance/machine_learning/qgan_option_pricing.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/finance/optimization/portfolio_diversification.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/finance/optimization/portfolio_optimization.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/finance/simulation/asian_barrier_spread_pricing.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/finance/simulation/basket_option_pricing.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/finance/simulation/bull_spread_pricing.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/finance/simulation/credit_risk_analysis.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/finance/simulation/european_call_option_pricing.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/finance/simulation/european_put_option_pricing.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/finance/simulation/fixed_income_pricing.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/finance/simulation/option_pricing.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/generating_random_variates.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/linear_systems_of_equations.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/machine_learning/index.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/machine_learning/qgans_for_loading_random_distributions.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/machine_learning/qsvm_classification.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/optimization/docplex.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/optimization/index.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/optimization/max_cut_and_tsp.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/aqua/optimization/vehicle_routing.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/ignis/10_discriminator.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;1;;1;318;Merge branch 'master' into startherefixes
99244384;https://github.com/Qiskit/qiskit-tutorials;https://github.com/Qiskit/qiskit-tutorials/commit/c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;legacy_tutorials/ignis/5b_interleaved_rb.ipynb;c22df898e40f668ed97c7b8f4c19ac26d4f83e6c;conversion;;Coding error;Incorrect Functionality;138;;3;;7;318;Merge branch 'master' into startherefixes
